image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_05692.jpg,0.002071,0.008352,0.072621,0.019742,0.000319,0.007415,0.007066,0.882413
img_04959.jpg,0.780560,0.029123,0.039845,0.034780,0.030367,0.014834,0.003272,0.067218
img_02739.jpg,0.994437,0.000771,0.000324,0.000611,0.001571,0.000552,0.001095,0.000639
img_01116.jpg,0.993495,0.001110,0.000417,0.000747,0.000057,0.002137,0.000439,0.001598
img_00374.jpg,0.807633,0.007215,0.006680,0.003744,0.000650,0.010714,0.001930,0.161433
img_05580.jpg,0.024012,0.012469,0.021428,0.003434,0.002681,0.008177,0.145031,0.782768
img_02799.jpg,0.968889,0.007295,0.001043,0.002708,0.012090,0.001710,0.002548,0.003716
img_02703.jpg,0.048881,0.009148,0.004804,0.004461,0.009113,0.004474,0.050096,0.869023
img_01198.jpg,0.241323,0.113126,0.036303,0.025121,0.502735,0.021368,0.027596,0.032427
img_06506.jpg,0.941074,0.011922,0.003402,0.006511,0.011444,0.005000,0.000855,0.019792
img_07628.jpg,0.000009,0.011896,0.008114,0.009516,0.939419,0.021358,0.007881,0.001807
img_05293.jpg,0.007037,0.452865,0.064330,0.062697,0.019643,0.161141,0.036458,0.195828
img_00667.jpg,0.000015,0.002641,0.002560,0.005889,0.980947,0.002527,0.005268,0.000153
img_04712.jpg,0.001534,0.020943,0.424823,0.005954,0.005480,0.004778,0.016341,0.520148
img_04127.jpg,0.060009,0.058027,0.035154,0.054340,0.005273,0.102805,0.082031,0.602360
img_03764.jpg,0.853206,0.009963,0.024126,0.007001,0.000107,0.002991,0.001571,0.101035
img_01168.jpg,0.020582,0.058872,0.035280,0.012091,0.009522,0.828941,0.006818,0.027893
img_04835.jpg,0.003404,0.040518,0.018745,0.026136,0.050144,0.717345,0.023298,0.120411
img_06748.jpg,0.000002,0.029763,0.059456,0.001437,0.000248,0.000499,0.002210,0.906385
img_03140.jpg,0.619343,0.124251,0.037876,0.025052,0.040559,0.113573,0.013204,0.026142
img_05038.jpg,0.584093,0.041070,0.022471,0.007156,0.012411,0.029417,0.048014,0.255368
img_07893.jpg,0.491403,0.017924,0.019415,0.106118,0.016326,0.109121,0.125681,0.114011
img_05015.jpg,0.069514,0.056414,0.043092,0.345461,0.004239,0.066578,0.038361,0.376342
img_01552.jpg,0.960387,0.009639,0.002020,0.003240,0.006240,0.004924,0.001944,0.011607
img_05654.jpg,0.995282,0.000686,0.000261,0.000366,0.000022,0.000471,0.000090,0.002824
img_03370.jpg,0.668389,0.005383,0.002665,0.002875,0.001497,0.010491,0.010682,0.298017
img_01627.jpg,0.914035,0.036783,0.006640,0.004277,0.001405,0.024097,0.002772,0.009993
img_07859.jpg,0.000004,0.001794,0.003823,0.005549,0.982882,0.003392,0.002507,0.000048
img_07543.jpg,0.001432,0.001008,0.003674,0.002922,0.963773,0.018046,0.008594,0.000553
img_05508.jpg,0.428697,0.110672,0.027906,0.006806,0.014016,0.003170,0.007974,0.400759
img_01561.jpg,0.000020,0.000035,0.000504,0.000299,0.998167,0.000706,0.000258,0.000010
img_05653.jpg,0.008347,0.723908,0.043055,0.007897,0.011822,0.005529,0.184424,0.015019
img_04268.jpg,0.985716,0.001506,0.000208,0.000435,0.000355,0.003103,0.000204,0.008473
img_03228.jpg,0.845087,0.004839,0.008910,0.011896,0.000779,0.031346,0.005024,0.092119
img_05857.jpg,0.900627,0.004175,0.006498,0.008748,0.001870,0.061725,0.004760,0.011597
img_06845.jpg,0.128164,0.252751,0.075803,0.114954,0.130922,0.034374,0.074910,0.188122
img_00046.jpg,0.832027,0.000125,0.000295,0.002073,0.160034,0.000442,0.004840,0.000164
img_07354.jpg,0.860141,0.003441,0.004818,0.002547,0.015715,0.000934,0.022564,0.089841
img_02282.jpg,0.000188,0.010982,0.030097,0.001840,0.000068,0.002109,0.002179,0.952536
img_01059.jpg,0.337345,0.029795,0.010681,0.009198,0.001310,0.031043,0.111051,0.469577
img_05059.jpg,0.000300,0.007965,0.022661,0.007482,0.927817,0.019148,0.005075,0.009552
img_00103.jpg,0.972771,0.002150,0.001058,0.001851,0.000418,0.011006,0.001490,0.009256
img_01771.jpg,0.668220,0.095223,0.016117,0.034818,0.008488,0.079260,0.051599,0.046273
img_00212.jpg,0.002477,0.000789,0.003051,0.000759,0.000069,0.000101,0.000763,0.991992
img_07580.jpg,0.580168,0.124155,0.039683,0.038707,0.006513,0.108792,0.009206,0.092776
img_02943.jpg,0.989953,0.000493,0.001685,0.001768,0.000204,0.002198,0.000160,0.003539
img_06010.jpg,0.572680,0.034226,0.014003,0.016492,0.014152,0.041220,0.057908,0.249319
img_03290.jpg,0.115257,0.013580,0.007566,0.003568,0.002750,0.012908,0.014580,0.829792
img_01571.jpg,0.584648,0.032469,0.040727,0.009238,0.122777,0.002309,0.025895,0.181936
img_05186.jpg,0.897973,0.004595,0.005852,0.001187,0.000899,0.001411,0.002733,0.085349
img_07122.jpg,0.919084,0.021706,0.002008,0.005166,0.001954,0.042911,0.005299,0.001870
img_07623.jpg,0.227601,0.018238,0.070319,0.008686,0.257392,0.007759,0.027451,0.382554
img_03726.jpg,0.031682,0.190661,0.041462,0.034989,0.010382,0.102298,0.014152,0.574374
img_03128.jpg,0.980765,0.000785,0.000140,0.000238,0.000057,0.000803,0.000575,0.016637
img_03847.jpg,0.008757,0.108639,0.039380,0.015652,0.024345,0.624150,0.047267,0.131809
img_06489.jpg,0.012347,0.002784,0.002904,0.002072,0.952483,0.022550,0.004789,0.000070
img_00648.jpg,0.997879,0.000343,0.000164,0.000355,0.000446,0.000302,0.000268,0.000243
img_06238.jpg,0.434044,0.045717,0.055984,0.032243,0.205603,0.161956,0.046470,0.017983
img_03252.jpg,0.990069,0.001611,0.000820,0.000485,0.000625,0.000477,0.000206,0.005707
img_01825.jpg,0.000609,0.896950,0.047338,0.009160,0.023642,0.005900,0.002884,0.013518
img_03825.jpg,0.999005,0.000177,0.000038,0.000178,0.000021,0.000383,0.000059,0.000139
img_04661.jpg,0.890741,0.015672,0.003768,0.007607,0.004887,0.074764,0.001273,0.001288
img_05612.jpg,0.986227,0.001020,0.001588,0.001018,0.000496,0.000767,0.000820,0.008063
img_00816.jpg,0.980945,0.001156,0.001645,0.000554,0.009175,0.002016,0.000526,0.003983
img_04128.jpg,0.026282,0.705711,0.018376,0.009356,0.188902,0.018368,0.026498,0.006505
img_07314.jpg,0.001186,0.006728,0.026092,0.002825,0.000213,0.000901,0.003325,0.958730
img_00914.jpg,0.003074,0.021593,0.132697,0.007766,0.551120,0.017734,0.015924,0.250092
img_05568.jpg,0.437751,0.032267,0.036390,0.051045,0.045282,0.019828,0.122487,0.254952
img_01444.jpg,0.534936,0.031188,0.006771,0.010840,0.002464,0.059586,0.108762,0.245454
img_04156.jpg,0.907000,0.004596,0.006824,0.007956,0.016833,0.053105,0.002459,0.001226
img_04004.jpg,0.882153,0.003586,0.023270,0.005376,0.008562,0.068663,0.002329,0.006062
img_03627.jpg,0.985949,0.001865,0.001800,0.001195,0.002317,0.001171,0.000617,0.005086
img_01930.jpg,0.940840,0.006768,0.010370,0.005610,0.025273,0.007666,0.003057,0.000416
img_02771.jpg,0.829231,0.085626,0.018979,0.030609,0.001233,0.024778,0.002866,0.006679
img_05794.jpg,0.687469,0.035832,0.003156,0.012851,0.004591,0.248784,0.005595,0.001722
img_04001.jpg,0.936796,0.024380,0.002313,0.008651,0.000580,0.021677,0.002113,0.003490
img_01373.jpg,0.307553,0.004556,0.068831,0.021250,0.401339,0.183771,0.009533,0.003168
img_04266.jpg,0.107874,0.018253,0.008318,0.013711,0.025855,0.618912,0.153720,0.053356
img_02890.jpg,0.415109,0.005220,0.049411,0.079871,0.061771,0.370562,0.013890,0.004164
img_01541.jpg,0.000095,0.005091,0.003414,0.007101,0.953004,0.015182,0.008919,0.007195
img_01689.jpg,0.003481,0.042558,0.278391,0.009801,0.007246,0.001863,0.008494,0.648167
img_06508.jpg,0.006012,0.000600,0.000572,0.002590,0.982564,0.004759,0.002889,0.000013
img_01548.jpg,0.932202,0.012625,0.007524,0.001757,0.014219,0.010391,0.002179,0.019103
img_06302.jpg,0.872544,0.007403,0.033059,0.025333,0.002528,0.009473,0.002010,0.047651
img_06962.jpg,0.285407,0.020072,0.009820,0.031858,0.022538,0.118812,0.464047,0.047447
img_00587.jpg,0.368922,0.058818,0.006309,0.033526,0.040408,0.116805,0.016659,0.358554
img_00484.jpg,0.166965,0.133538,0.153528,0.165839,0.233338,0.040057,0.037079,0.069655
img_00232.jpg,0.004369,0.108151,0.016358,0.006939,0.021048,0.002635,0.801946,0.038555
img_07054.jpg,0.337931,0.387037,0.020981,0.006572,0.012645,0.065824,0.009271,0.159739
img_03923.jpg,0.113603,0.026651,0.209513,0.138591,0.269042,0.170049,0.043530,0.029020
img_04341.jpg,0.603086,0.004404,0.004207,0.005689,0.216386,0.015384,0.121025,0.029818
img_05563.jpg,0.671103,0.087515,0.016453,0.020683,0.005247,0.139367,0.022147,0.037484
img_00407.jpg,0.994400,0.000395,0.000659,0.000972,0.000345,0.001477,0.000528,0.001225
img_05735.jpg,0.876625,0.013024,0.006332,0.003410,0.006293,0.054779,0.004712,0.034826
img_04675.jpg,0.001033,0.315033,0.585090,0.006787,0.003397,0.003211,0.008376,0.077073
img_07419.jpg,0.000897,0.007386,0.024180,0.002261,0.000152,0.000498,0.000604,0.964021
img_05269.jpg,0.714664,0.001761,0.003736,0.001317,0.245407,0.001143,0.003777,0.028196
img_03135.jpg,0.420694,0.014856,0.004530,0.006205,0.000769,0.002973,0.002428,0.547546
img_01379.jpg,0.984170,0.000395,0.005063,0.002713,0.003016,0.002487,0.000513,0.001643
img_00966.jpg,0.534392,0.063474,0.021054,0.038804,0.148549,0.001101,0.049395,0.143232
img_05587.jpg,0.095320,0.072936,0.047916,0.592122,0.067905,0.061069,0.037008,0.025724
img_05426.jpg,0.116654,0.078166,0.047577,0.489827,0.004143,0.032308,0.031622,0.199703
img_05492.jpg,0.000222,0.067551,0.056296,0.002283,0.000088,0.001293,0.000878,0.871391
img_01328.jpg,0.855929,0.009312,0.004022,0.021736,0.002940,0.042210,0.008981,0.054870
img_03446.jpg,0.000072,0.256589,0.254327,0.008165,0.008037,0.005654,0.008664,0.458492
img_06496.jpg,0.941243,0.010557,0.001593,0.005034,0.003347,0.033701,0.003629,0.000897
img_06285.jpg,0.000010,0.008440,0.091049,0.002515,0.093159,0.001684,0.008040,0.795103
